Month,Price,Change
Feb 2000,10510.7,-
Mar 2000,9840.12,-6.38 %
Apr 2000,9371.48,-4.76 %
May 2000,8732.53,-6.82 %
Jun 2000,8759.43,0.31 %
Jul 2000,8463.06,-3.38 %
Aug 2000,8521.52,0.69 %
Sep 2000,8214.13,-3.61 %
Oct 2000,8691.34,5.81 %
Nov 2000,8654.72,-0.42 %
Dec 2000,8613.79,-0.47 %
Jan 2001,8581.98,-0.37 %
Feb 2001,8582.74,0.01 %
Mar 2001,8158.59,-4.94 %
Apr 2001,7661.19,-6.10 %
May 2001,7709.92,0.64 %
Jun 2001,7896.88,2.43 %
Jul 2001,7985.82,1.13 %
Aug 2001,7929,-0.71 %
Sep 2001,8242.76,3.96 %
Oct 2001,8192.29,-0.61 %
Nov 2001,8327.54,1.65 %
Dec 2001,8592.97,3.19 %
Jan 2002,9268.37,7.86 %
Feb 2002,9510.91,2.62 %
Mar 2002,9211.76,-3.15 %
Apr 2002,9304.49,1.01 %
May 2002,9677.5,4.01 %
Jun 2002,9922.95,2.54 %
Jul 2002,9733.28,-1.91 %
Aug 2002,9248.23,-4.98 %
Sep 2002,9039.11,-2.26 %
Oct 2002,9008.81,-0.34 %
Nov 2002,9011.67,0.03 %
Dec 2002,8977.64,-0.38 %
Jan 2003,9621.95,7.18 %
Feb 2003,9487.49,-1.40 %
Mar 2003,9385.29,-1.08 %
Apr 2003,9238.61,-1.56 %
May 2003,9322.47,0.91 %
Jun 2003,9503.05,1.94 %
Jul 2003,9177.56,-3.43 %
Aug 2003,8957.42,-2.40 %
Sep 2003,9060.05,1.15 %
Oct 2003,8885.18,-1.93 %
Nov 2003,8803.57,-0.92 %
Dec 2003,9038.41,2.67 %
Jan 2004,9669.27,6.98 %
Feb 2004,9654.18,-0.16 %
Mar 2004,10704.51,10.88 %
Apr 2004,10576.95,-1.19 %
May 2004,10496.17,-0.76 %
Jun 2004,10423.14,-0.70 %
Jul 2004,10624.57,1.93 %
Aug 2004,11075.83,4.25 %
Sep 2004,10844.58,-2.09 %
Oct 2004,11171.22,3.01 %
Nov 2004,11693.09,4.67 %
Dec 2004,12237.56,4.66 %
Jan 2005,12558.21,2.62 %
Feb 2005,12666.33,0.86 %
Mar 2005,12790.25,0.98 %
Apr 2005,13002.06,1.66 %
May 2005,12777.78,-1.72 %
Jun 2005,12421.98,-2.78 %
Jul 2005,12048.97,-3.00 %
Aug 2005,12337.41,2.39 %
Sep 2005,12527.18,1.54 %
Oct 2005,12837.16,2.47 %
Nov 2005,12700.43,-1.07 %
Dec 2005,12807.1,0.84 %
Jan 2006,12931.06,0.97 %
Feb 2006,13365.81,3.36 %
Mar 2006,13498.31,0.99 %
Apr 2006,13585.96,0.65 %
May 2006,13986,2.94 %
Jun 2006,14392.33,2.91 %
Jul 2006,14652.28,1.81 %
Aug 2006,14551.38,-0.69 %
Sep 2006,14260.6,-2.00 %
Oct 2006,13686,-4.03 %
Nov 2006,13288.89,-2.90 %
Dec 2006,13613.52,2.44 %
Jan 2007,13878.25,1.94 %
Feb 2007,13911.14,0.24 %
Mar 2007,14029.61,0.85 %
Apr 2007,13340.81,-4.91 %
May 2007,12955.54,-2.89 %
Jun 2007,13176.32,1.70 %
Jul 2007,13288.9,0.85 %
Aug 2007,13367.77,0.59 %
Sep 2007,13110.5,-1.92 %
Oct 2007,13007.74,-0.78 %
Nov 2007,13488.48,3.70 %
Dec 2007,14224.83,5.46 %
Jan 2008,14788.4,3.96 %
Feb 2008,18464.3,24.86 %
Mar 2008,23971.86,29.83 %
Apr 2008,36307.71,51.46 %
May 2008,37988.78,4.63 %
Jun 2008,32414.74,-14.67 %
Jul 2008,31345.63,-3.30 %
Aug 2008,29778.16,-5.00 %
Sep 2008,31156.66,4.63 %
Oct 2008,29635.27,-4.88 %
Nov 2008,27049.84,-8.72 %
Dec 2008,25867.77,-4.37 %
Jan 2009,28327.2,9.51 %
Feb 2009,29078.03,2.65 %
Mar 2009,30159.58,3.72 %
Apr 2009,27522.62,-8.74 %
May 2009,25868.62,-6.01 %
Jun 2009,27445.95,6.10 %
Jul 2009,27746.42,1.09 %
Aug 2009,25427.85,-8.36 %
Sep 2009,25127.7,-1.18 %
Oct 2009,23033.48,-8.33 %
Nov 2009,25275.32,9.73 %
Dec 2009,27558.33,9.03 %
Jan 2010,26123.19,-5.21 %
Feb 2010,24784.3,-5.13 %
Mar 2010,22849.1,-7.81 %
Apr 2010,20736.51,-9.25 %
May 2010,20657.61,-0.38 %
Jun 2010,20488.4,-0.82 %
Jul 2010,20708.1,1.07 %
Aug 2010,21082.98,1.81 %
Sep 2010,21936.55,4.05 %
Oct 2010,21586.9,-1.59 %
Nov 2010,23089.25,6.96 %
Dec 2010,24029.88,4.07 %
Jan 2011,23454.56,-2.39 %
Feb 2011,23818.42,1.55 %
Mar 2011,22168.6,-6.93 %
Apr 2011,21493.78,-3.04 %
May 2011,21612.45,0.55 %
Jun 2011,23042.62,6.62 %
Jul 2011,23906.52,3.75 %
Aug 2011,25627.63,7.20 %
Sep 2011,28577.08,11.51 %
Oct 2011,29514.46,3.28 %
Nov 2011,31187.37,5.67 %
Dec 2011,30834.19,-1.13 %
Jan 2012,27765.23,-9.95 %
Feb 2012,26425.48,-4.83 %
Mar 2012,27577,4.36 %
Apr 2012,28375.28,2.89 %
May 2012,32629.37,14.99 %
Jun 2012,33618,3.03 %
Jul 2012,31858.33,-5.23 %
Aug 2012,31543.92,-0.99 %
Sep 2012,30730.08,-2.58 %
Oct 2012,29564.02,-3.79 %
Nov 2012,30602.11,3.51 %
Dec 2012,30464.95,-0.45 %
Jan 2013,30643.51,0.59 %
Feb 2013,30257.53,-1.26 %
Mar 2013,30402.8,0.48 %
Apr 2013,30287.27,-0.38 %
May 2013,29910.63,-1.24 %
Jun 2013,30578.75,2.23 %
Jul 2013,30427.73,-0.49 %
Aug 2013,30261.23,-0.55 %
Sep 2013,28277.99,-6.55 %
Oct 2013,27056.08,-4.32 %
Nov 2013,27466.36,1.52 %
Dec 2013,27938.56,1.72 %
Jan 2014,27960.82,0.08 %
Feb 2014,28588.55,2.25 %
Mar 2014,25728.06,-10.01 %
Apr 2014,23840.87,-7.34 %
May 2014,23025,-3.42 %
Jun 2014,23705.89,2.96 %
Jul 2014,25346.9,6.92 %
Aug 2014,27098.35,6.91 %
Sep 2014,26301.7,-2.94 %
Oct 2014,26256.96,-0.17 %
Nov 2014,25781.11,-1.81 %
Dec 2014,26213.17,1.68 %
Jan 2015,26096.85,-0.44 %
Feb 2015,26051.73,-0.17 %
Mar 2015,25604.43,-1.72 %
Apr 2015,25038.51,-2.21 %
May 2015,24311.68,-2.90 %
Jun 2015,24011.64,-1.23 %
Jul 2015,24949.16,3.90 %
Aug 2015,24271.98,-2.71 %
Sep 2015,23638.75,-2.61 %
Oct 2015,24273.15,2.68 %
Nov 2015,24306.55,0.14 %
Dec 2015,24174.17,-0.54 %
Jan 2016,24831.25,2.72 %
Feb 2016,26205.34,5.53 %
Mar 2016,25750.31,-1.74 %
Apr 2016,26255.46,1.96 %
May 2016,28961.69,10.31 %
Jun 2016,29671.2,2.45 %
Jul 2016,29709.82,0.13 %
Aug 2016,27779.09,-6.50 %
Sep 2016,25628.87,-7.74 %
Oct 2016,24633.42,-3.88 %
Nov 2016,24647.5,0.06 %
Dec 2016,25326.29,2.75 %
Jan 2017,25676.56,1.38 %
Feb 2017,24626.7,-4.09 %
Mar 2017,24388.67,-0.97 %
Apr 2017,24515.25,0.52 %
May 2017,27120.09,10.63 %
Jun 2017,29511.71,8.82 %
Jul 2017,26871.64,-8.95 %
Aug 2017,25138.6,-6.45 %
Sep 2017,25913.18,3.08 %
Oct 2017,25643.9,-1.04 %
Nov 2017,26078.74,1.70 %
Dec 2017,26082.38,0.01 %
Jan 2018,28130.78,7.85 %
Feb 2018,27358.88,-2.74 %
Mar 2018,27954.52,2.18 %
Apr 2018,29613.84,5.94 %
May 2018,30462.32,2.87 %
Jun 2018,28947.64,-4.97 %
Jul 2018,27343.03,-5.54 %
Aug 2018,28161.58,2.99 %
Sep 2018,29281.63,3.98 %
Oct 2018,30109.66,2.83 %
Nov 2018,28801.52,-4.34 %
Dec 2018,28615.95,-0.64 %
Jan 2019,29007.79,1.37 %
Feb 2019,29052.84,0.16 %
Mar 2019,28208.33,-2.91 %
Apr 2019,28673.52,1.65 %
May 2019,28543.84,-0.45 %
Jun 2019,29164.32,2.17 %
Jul 2019,28623.5,-1.85 %
Aug 2019,30592.65,6.88 %
Sep 2019,30459.47,-0.44 %
Oct 2019,30126,-1.09 %
Nov 2019,30071.64,-0.18 %
Dec 2019,30753.28,2.27 %
Jan 2020,32168.65,4.60 %
